受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-06-09T00:00:00,080004,茨城県,,226
2020-06-10T00:00:00,080004,茨城県,,269
2020-06-11T00:00:00,080004,茨城県,,318
2020-06-12T00:00:00,080004,茨城県,,264
2020-06-13T00:00:00,080004,茨城県,,91
2020-06-14T00:00:00,080004,茨城県,,98
2020-06-15T00:00:00,080004,茨城県,,312
2020-06-16T00:00:00,080004,茨城県,,212
2020-06-17T00:00:00,080004,茨城県,,196
2020-06-18T00:00:00,080004,茨城県,,187
2020-06-19T00:00:00,080004,茨城県,,189
2020-06-20T00:00:00,080004,茨城県,,112
2020-06-21T00:00:00,080004,茨城県,,88
2020-06-22T00:00:00,080004,茨城県,,292
2020-06-23T00:00:00,080004,茨城県,,219
2020-06-24T00:00:00,080004,茨城県,,212
2020-06-25T00:00:00,080004,茨城県,,236
2020-06-26T00:00:00,080004,茨城県,,300
2020-06-27T00:00:00,080004,茨城県,,114
2020-06-28T00:00:00,080004,茨城県,,127
2020-06-29T00:00:00,080004,茨城県,,365
2020-06-30T00:00:00,080004,茨城県,,340
2020-07-01T00:00:00,080004,茨城県,,349
2020-07-02T00:00:00,080004,茨城県,,319
2020-07-03T00:00:00,080004,茨城県,,380
2020-07-04T00:00:00,080004,茨城県,,166
2020-07-05T00:00:00,080004,茨城県,,123
2020-07-06T00:00:00,080004,茨城県,,478
2020-07-07T00:00:00,080004,茨城県,,362
2020-07-08T00:00:00,080004,茨城県,,351
2020-07-09T00:00:00,080004,茨城県,,383
2020-07-10T00:00:00,080004,茨城県,,425
2020-07-11T00:00:00,080004,茨城県,,174
2020-07-12T00:00:00,080004,茨城県,,133
2020-07-13T00:00:00,080004,茨城県,,579
2020-07-14T00:00:00,080004,茨城県,,642
2020-07-15T00:00:00,080004,茨城県,,521
2020-07-16T00:00:00,080004,茨城県,,619
2020-07-17T00:00:00,080004,茨城県,,618
2020-07-18T00:00:00,080004,茨城県,,211
2020-07-19T00:00:00,080004,茨城県,,190
2020-07-20T00:00:00,080004,茨城県,,744
2020-07-21T00:00:00,080004,茨城県,,615
2020-07-22T00:00:00,080004,茨城県,,593
2020-07-23T00:00:00,080004,茨城県,,236
2020-07-24T00:00:00,080004,茨城県,,256
2020-07-25T00:00:00,080004,茨城県,,210
2020-07-26T00:00:00,080004,茨城県,,210
2020-07-27T00:00:00,080004,茨城県,,803
2020-07-28T00:00:00,080004,茨城県,,619
2020-07-29T00:00:00,080004,茨城県,,733
2020-07-30T00:00:00,080004,茨城県,,887
2020-07-31T00:00:00,080004,茨城県,,946
2020-08-01T00:00:00,080004,茨城県,,264
2020-08-02T00:00:00,080004,茨城県,,232
2020-08-03T00:00:00,080004,茨城県,,970
2020-08-04T00:00:00,080004,茨城県,,705
2020-08-05T00:00:00,080004,茨城県,,765
2020-08-06T00:00:00,080004,茨城県,,895
2020-08-07T00:00:00,080004,茨城県,,790
2020-08-08T00:00:00,080004,茨城県,,236
2020-08-09T00:00:00,080004,茨城県,,242
2020-08-10T00:00:00,080004,茨城県,,286
2020-08-11T00:00:00,080004,茨城県,,770
2020-08-12T00:00:00,080004,茨城県,,654
2020-08-13T00:00:00,080004,茨城県,,478
2020-08-14T00:00:00,080004,茨城県,,488
2020-08-15T00:00:00,080004,茨城県,,239
2020-08-16T00:00:00,080004,茨城県,,216
2020-08-17T00:00:00,080004,茨城県,,798
2020-08-18T00:00:00,080004,茨城県,,604
2020-08-19T00:00:00,080004,茨城県,,594
2020-08-20T00:00:00,080004,茨城県,,569
2020-08-21T00:00:00,080004,茨城県,,632
2020-08-22T00:00:00,080004,茨城県,,185
2020-08-23T00:00:00,080004,茨城県,,160
2020-08-24T00:00:00,080004,茨城県,,642
2020-08-25T00:00:00,080004,茨城県,,549
2020-08-26T00:00:00,080004,茨城県,,547
2020-08-27T00:00:00,080004,茨城県,,459
2020-08-28T00:00:00,080004,茨城県,,499
2020-08-29T00:00:00,080004,茨城県,,164
2020-08-30T00:00:00,080004,茨城県,,188
2020-08-31T00:00:00,080004,茨城県,,501
2020-09-01T00:00:00,080004,茨城県,,414
2020-09-02T00:00:00,080004,茨城県,,400
2020-09-03T00:00:00,080004,茨城県,,407
2020-09-04T00:00:00,080004,茨城県,,478
2020-09-05T00:00:00,080004,茨城県,,164
2020-09-06T00:00:00,080004,茨城県,,146
2020-09-07T00:00:00,080004,茨城県,,466
2020-09-08T00:00:00,080004,茨城県,,402
2020-09-09T00:00:00,080004,茨城県,,324
2020-09-10T00:00:00,080004,茨城県,,303
2020-09-11T00:00:00,080004,茨城県,,373
2020-09-12T00:00:00,080004,茨城県,,180
2020-09-13T00:00:00,080004,茨城県,,144
2020-09-14T00:00:00,080004,茨城県,,392
2020-09-15T00:00:00,080004,茨城県,,330
2020-09-16T00:00:00,080004,茨城県,,300
2020-09-17T00:00:00,080004,茨城県,,293
