実施_年月日,全国地方公共団体コード,都道府県名,市区町村名,検査実施_人数,（感染者数）
2020-05-26T00:00:00,080004,茨城県,,37,0
2020-05-27T00:00:00,080004,茨城県,,31,0
2020-05-28T00:00:00,080004,茨城県,,30,0
2020-05-29T00:00:00,080004,茨城県,,27,0
2020-05-30T00:00:00,080004,茨城県,,31,0
2020-05-31T00:00:00,080004,茨城県,,1,0
2020-06-01T00:00:00,080004,茨城県,,7,0
2020-06-02T00:00:00,080004,茨城県,,35,0
2020-06-03T00:00:00,080004,茨城県,,28,0
2020-06-04T00:00:00,080004,茨城県,,26,0
2020-06-05T00:00:00,080004,茨城県,,36,0
2020-06-06T00:00:00,080004,茨城県,,44,0
2020-06-07T00:00:00,080004,茨城県,,14,0
2020-06-08T00:00:00,080004,茨城県,,6,0
2020-06-09T00:00:00,080004,茨城県,,64,0
2020-06-10T00:00:00,080004,茨城県,,28,0
2020-06-11T00:00:00,080004,茨城県,,43,0
2020-06-12T00:00:00,080004,茨城県,,16,0
2020-06-13T00:00:00,080004,茨城県,,23,0
2020-06-14T00:00:00,080004,茨城県,,6,0
2020-06-15T00:00:00,080004,茨城県,,3,0
2020-06-16T00:00:00,080004,茨城県,,30,0
2020-06-17T00:00:00,080004,茨城県,,25,0
2020-06-18T00:00:00,080004,茨城県,,19,0
2020-06-19T00:00:00,080004,茨城県,,13,0
2020-06-20T00:00:00,080004,茨城県,,23,2
2020-06-21T00:00:00,080004,茨城県,,2,0
2020-06-22T00:00:00,080004,茨城県,,5,0
2020-06-23T00:00:00,080004,茨城県,,25,0
2020-06-24T00:00:00,080004,茨城県,,20,0
2020-06-25T00:00:00,080004,茨城県,,28,0
2020-06-26T00:00:00,080004,茨城県,,18,2
2020-06-27T00:00:00,080004,茨城県,,25,0
2020-06-28T00:00:00,080004,茨城県,,3,1
2020-06-29T00:00:00,080004,茨城県,,5,1
2020-06-30T00:00:00,080004,茨城県,,42,0
2020-07-01T00:00:00,080004,茨城県,,41,0
2020-07-02T00:00:00,080004,茨城県,,51,2
2020-07-03T00:00:00,080004,茨城県,,33,6
2020-07-04T00:00:00,080004,茨城県,,63,1
2020-07-05T00:00:00,080004,茨城県,,19,0
2020-07-06T00:00:00,080004,茨城県,,30,3
2020-07-07T00:00:00,080004,茨城県,,63,1
2020-07-08T00:00:00,080004,茨城県,,65,1
2020-07-09T00:00:00,080004,茨城県,,30,1
2020-07-10T00:00:00,080004,茨城県,,43,7
2020-07-11T00:00:00,080004,茨城県,,77,0
2020-07-12T00:00:00,080004,茨城県,,12,3
2020-07-13T00:00:00,080004,茨城県,,10,3
2020-07-14T00:00:00,080004,茨城県,,84,2
2020-07-15T00:00:00,080004,茨城県,,78,5
2020-07-16T00:00:00,080004,茨城県,,60,2
2020-07-17T00:00:00,080004,茨城県,,124,4
2020-07-18T00:00:00,080004,茨城県,,90,5
2020-07-19T00:00:00,080004,茨城県,,34,5
2020-07-20T00:00:00,080004,茨城県,,18,1
2020-07-21T00:00:00,080004,茨城県,,113,4
2020-07-22T00:00:00,080004,茨城県,,129,5
2020-07-23T00:00:00,080004,茨城県,,64,2
2020-07-24T00:00:00,080004,茨城県,,60,2
2020-07-25T00:00:00,080004,茨城県,,21,0
2020-07-26T00:00:00,080004,茨城県,,25,3
2020-07-27T00:00:00,080004,茨城県,,32,2
2020-07-28T00:00:00,080004,茨城県,,117,15
2020-07-29T00:00:00,080004,茨城県,,111,9
2020-07-30T00:00:00,080004,茨城県,,87,12
2020-07-31T00:00:00,080004,茨城県,,221,14
2020-08-01T00:00:00,080004,茨城県,,145,14
2020-08-02T00:00:00,080004,茨城県,,64,14
2020-08-03T00:00:00,080004,茨城県,,12,5
2020-08-04T00:00:00,080004,茨城県,,224,7
2020-08-05T00:00:00,080004,茨城県,,283,10
2020-08-06T00:00:00,080004,茨城県,,139,12
2020-08-07T00:00:00,080004,茨城県,,127,12
2020-08-08T00:00:00,080004,茨城県,,158,12
2020-08-09T00:00:00,080004,茨城県,,132,17
2020-08-10T00:00:00,080004,茨城県,,94,6
2020-08-11T00:00:00,080004,茨城県,,142,3
2020-08-12T00:00:00,080004,茨城県,,230,10
2020-08-13T00:00:00,080004,茨城県,,150,15
2020-08-14T00:00:00,080004,茨城県,,73,12
2020-08-15T00:00:00,080004,茨城県,,83,7
2020-08-16T00:00:00,080004,茨城県,,29,2
2020-08-17T00:00:00,080004,茨城県,,38,4
2020-08-18T00:00:00,080004,茨城県,,159,7
2020-08-19T00:00:00,080004,茨城県,,98,13
2020-08-20T00:00:00,080004,茨城県,,136,3
2020-08-21T00:00:00,080004,茨城県,,106,11
2020-08-22T00:00:00,080004,茨城県,,120,8
2020-08-23T00:00:00,080004,茨城県,,54,5
2020-08-24T00:00:00,080004,茨城県,,44,4
2020-08-25T00:00:00,080004,茨城県,,144,5
2020-08-26T00:00:00,080004,茨城県,,134,12
2020-08-27T00:00:00,080004,茨城県,,113,8
2020-08-28T00:00:00,080004,茨城県,,92,6
2020-08-29T00:00:00,080004,茨城県,,167,4
2020-08-30T00:00:00,080004,茨城県,,52,2
2020-08-31T00:00:00,080004,茨城県,,51,1
2020-09-01T00:00:00,080004,茨城県,,76,4
2020-09-02T00:00:00,080004,茨城県,,64,6
2020-09-03T00:00:00,080004,茨城県,,89,4
2020-09-04T00:00:00,080004,茨城県,,100,8
2020-09-05T00:00:00,080004,茨城県,,110,6
2020-09-06T00:00:00,080004,茨城県,,38,10
2020-09-07T00:00:00,080004,茨城県,,47,0
2020-09-08T00:00:00,080004,茨城県,,123,5
2020-09-09T00:00:00,080004,茨城県,,50,1
2020-09-10T00:00:00,080004,茨城県,,33,4
2020-09-11T00:00:00,080004,茨城県,,74,13
2020-09-12T00:00:00,080004,茨城県,,118,3
2020-09-13T00:00:00,080004,茨城県,,39,3
2020-09-14T00:00:00,080004,茨城県,,23,2
2020-09-15T00:00:00,080004,茨城県,,150,2
2020-09-16T00:00:00,080004,茨城県,,54,2
2020-09-17T00:00:00,080004,茨城県,,38,3
2020-09-18T00:00:00,080004,茨城県,,48,1
2020-09-19T00:00:00,080004,茨城県,,33,1
2020-09-20T00:00:00,080004,茨城県,,78,1
2020-09-21T00:00:00,080004,茨城県,,9,3
2020-09-22T00:00:00,080004,茨城県,,26,2
2020-09-23T00:00:00,080004,茨城県,,18,1
2020-09-24T00:00:00,080004,茨城県,,29,1
2020-09-25T00:00:00,080004,茨城県,,39,1
2020-09-26T00:00:00,080004,茨城県,,79,5
2020-09-27T00:00:00,080004,茨城県,,60,1
2020-09-28T00:00:00,080004,茨城県,,16,11
2020-09-29T00:00:00,080004,茨城県,,39,3
2020-09-30T00:00:00,080004,茨城県,,107,5
2020-10-01T00:00:00,080004,茨城県,,47,2
2020-10-02T00:00:00,080004,茨城県,,35,9
2020-10-03T00:00:00,080004,茨城県,,18,3
2020-10-04T00:00:00,080004,茨城県,,22,5
2020-10-05T00:00:00,080004,茨城県,,15,1
2020-10-06T00:00:00,080004,茨城県,,40,4
2020-10-07T00:00:00,080004,茨城県,,113,12
2020-10-08T00:00:00,080004,茨城県,,38,5
2020-10-09T00:00:00,080004,茨城県,,45,2
2020-10-10T00:00:00,080004,茨城県,,31,6
2020-10-11T00:00:00,080004,茨城県,,19,3
2020-10-12T00:00:00,080004,茨城県,,99,1
2020-10-13T00:00:00,080004,茨城県,,33,0
2020-10-14T00:00:00,080004,茨城県,,33,5
2020-10-15T00:00:00,080004,茨城県,,54,4
2020-10-16T00:00:00,080004,茨城県,,42,4
2020-10-17T00:00:00,080004,茨城県,,212,2
2020-10-18T00:00:00,080004,茨城県,,3,3
2020-10-19T00:00:00,080004,茨城県,,19,0
2020-10-20T00:00:00,080004,茨城県,,34,2
2020-10-21T00:00:00,080004,茨城県,,24,1
2020-10-22T00:00:00,080004,茨城県,,18,4
2020-10-23T00:00:00,080004,茨城県,,15,2
2020-10-24T00:00:00,080004,茨城県,,18,2
2020-10-25T00:00:00,080004,茨城県,,11,2
2020-10-26T00:00:00,080004,茨城県,,105,2
2020-10-27T00:00:00,080004,茨城県,,80,1
2020-10-28T00:00:00,080004,茨城県,,54,6
2020-10-29T00:00:00,080004,茨城県,,18,7
2020-10-30T00:00:00,080004,茨城県,,59,7
2020-10-31T00:00:00,080004,茨城県,,53,4
2020-11-01T00:00:00,080004,茨城県,,48,2
2020-11-02T00:00:00,080004,茨城県,,3,3
2020-11-03T00:00:00,080004,茨城県,,41,2
2020-11-04T00:00:00,080004,茨城県,,69,4
2020-11-05T00:00:00,080004,茨城県,,71,10
2020-11-06T00:00:00,080004,茨城県,,96,7
2020-11-07T00:00:00,080004,茨城県,,62,10
2020-11-08T00:00:00,080004,茨城県,,16,12
2020-11-09T00:00:00,080004,茨城県,,40,7
2020-11-10T00:00:00,080004,茨城県,,152,9
2020-11-11T00:00:00,080004,茨城県,,73,20
2020-11-12T00:00:00,080004,茨城県,,112,26
2020-11-13T00:00:00,080004,茨城県,,151,26
2020-11-14T00:00:00,080004,茨城県,,34,40
2020-11-15T00:00:00,080004,茨城県,,89,21
2020-11-16T00:00:00,080004,茨城県,,137,10
2020-11-17T00:00:00,080004,茨城県,,137,55
2020-11-18T00:00:00,080004,茨城県,,176,39
2020-11-19T00:00:00,080004,茨城県,,91,28
2020-11-20T00:00:00,080004,茨城県,,235,40
2020-11-21T00:00:00,080004,茨城県,,92,66
2020-11-22T00:00:00,080004,茨城県,,35,47
2020-11-23T00:00:00,080004,茨城県,,154,32
2020-11-24T00:00:00,080004,茨城県,,126,26
2020-11-25T00:00:00,080004,茨城県,,127,36
2020-11-26T00:00:00,080004,茨城県,,156,50
2020-11-27T00:00:00,080004,茨城県,,205,45
2020-11-28T00:00:00,080004,茨城県,,103,66
2020-11-29T00:00:00,080004,茨城県,,33,31
2020-11-30T00:00:00,080004,茨城県,,209,23
2020-12-01T00:00:00,080004,茨城県,,139,50
2020-12-02T00:00:00,080004,茨城県,,149,44
2020-12-03T00:00:00,080004,茨城県,,101,37
2020-12-04T00:00:00,080004,茨城県,,146,85
2020-12-05T00:00:00,080004,茨城県,,36,31
2020-12-06T00:00:00,080004,茨城県,,24,24
2020-12-07T00:00:00,080004,茨城県,,4,12
2020-12-08T00:00:00,080004,茨城県,,132,34
2020-12-09T00:00:00,080004,茨城県,,65,14
2020-12-10T00:00:00,080004,茨城県,,43,19
2020-12-11T00:00:00,080004,茨城県,,127,24
2020-12-12T00:00:00,080004,茨城県,,43,38
2020-12-13T00:00:00,080004,茨城県,,63,14
2020-12-14T00:00:00,080004,茨城県,,20,25
2020-12-15T00:00:00,080004,茨城県,,36,18
2020-12-16T00:00:00,080004,茨城県,,37,23
2020-12-17T00:00:00,080004,茨城県,,57,28
2020-12-18T00:00:00,080004,茨城県,,88,17
2020-12-19T00:00:00,080004,茨城県,,26,19
2020-12-20T00:00:00,080004,茨城県,,53,16
2020-12-21T00:00:00,080004,茨城県,,5,16
2020-12-22T00:00:00,080004,茨城県,,78,19
2020-12-23T00:00:00,080004,茨城県,,27,19
2020-12-24T00:00:00,080004,茨城県,,40,39
2020-12-25T00:00:00,080004,茨城県,,64,27
2020-12-26T00:00:00,080004,茨城県,,71,27
2020-12-27T00:00:00,080004,茨城県,,10,27
2020-12-28T00:00:00,080004,茨城県,,105,31
2020-12-29T00:00:00,080004,茨城県,,101,43
2020-12-30T00:00:00,080004,茨城県,,37,37
2020-12-31T00:00:00,080004,茨城県,,78,28
2021-01-01T00:00:00,080004,茨城県,,20,42
2021-01-02T00:00:00,080004,茨城県,,37,20
2021-01-03T00:00:00,080004,茨城県,,39,52
2021-01-04T00:00:00,080004,茨城県,,44,32
2021-01-05T00:00:00,080004,茨城県,,200,67
2021-01-06T00:00:00,080004,茨城県,,148,71
2021-01-07T00:00:00,080004,茨城県,,139,90
2021-01-08T00:00:00,080004,茨城県,,175,127
2021-01-09T00:00:00,080004,茨城県,,201,109
